,team,element_type,web_name,goals_scored,assists,bonus,event_points,total_points,saves,own_goals,clean_sheets,penalties_missed,penalties_saved,yellow_cards,red_cards,minutes,bps,creativity,threat,ict_index,influence,value_season,form,value_form,points_per_game,goals_conceded,in_dreamteam,dreamteam_count,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,chance_of_playing_this_round,chance_of_playing_next_round,news_added,news,status,ep_this,ep_next,first_name,second_name,team_code,id,photo,special,squad_number,code,full_name
0,1,2,Mustafi,0,2,1,1,26,0,0,2,0,0,0,0,620,144,15.4,107.0,29.7,173.0,5.1,4.3,0.8,3.2,9,False,0,51,0,0,-4,4,0.4,343,182,14025,35844,100.0,100.0,2020-01-27T22:30:15.833744Z,,a,4.8,0.0,Shkodran,Mustafi,3,1,69140.jpg,False,,69140,Shkodran Mustafi
1,1,2,Bellerín,1,0,3,1,24,0,0,2,0,0,2,0,622,113,37.7,38.0,19.4,117.4,4.4,5.0,0.9,3.4,10,False,0,54,0,0,-1,1,1.1,1589,2319,108387,51035,100.0,100.0,2019-12-09T20:00:21.228098Z,,a,5.5,0.0,Héctor,Bellerín,3,2,98745.jpg,False,,98745,Héctor Bellerín
2,1,2,Kolasinac,0,2,1,1,35,0,0,2,0,0,3,0,1103,222,157.3,67.0,41.2,190.0,6.7,0.3,0.1,2.1,19,False,0,52,0,0,-3,3,0.5,31,151,55443,126460,100.0,50.0,2020-02-23T18:30:13.672943Z,Shoulder injury - 50% chance of playing,d,0.8,0.0,Sead,Kolasinac,3,3,111457.jpg,False,,111457,Sead Kolasinac
3,1,2,Maitland-Niles,0,2,3,0,36,0,0,3,0,0,3,1,1210,216,155.4,37.0,44.9,261.8,7.8,0.0,0.0,2.6,19,False,1,45,-1,1,-5,5,2.4,96,1072,589822,621430,100.0,100.0,2019-09-22T18:00:10.824841Z,,a,0.5,0.0,Ainsley,Maitland-Niles,3,4,154043.jpg,False,,154043,Ainsley Maitland-Niles
4,1,2,Sokratis,2,0,5,0,52,0,0,3,0,0,5,0,1606,286,31.8,106.0,57.1,431.6,10.6,0.0,0.0,2.9,25,False,1,48,-1,1,-2,2,1.3,58,893,143905,189620,75.0,100.0,2020-02-21T01:30:19.929771Z,,a,0.4,0.0,Sokratis,Papastathopoulos,3,5,39476.jpg,False,,39476,Sokratis Papastathopoulos
5,1,2,Monreal,0,0,1,0,10,0,0,1,0,0,0,0,270,54,40.8,12.0,10.0,47.2,2.0,0.0,0.0,3.3,4,False,0,50,0,0,0,0,0.2,1,9,28147,88887,0.0,0.0,2019-08-31T11:30:14.661839Z,Joined Real Sociedad on a permanent deal on 31/8,u,0.0,0.0,Nacho,Monreal,3,6,38411.jpg,False,,38411,Nacho Monreal
6,1,2,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,50,0,0,0,0,0.1,3,6,615,12702,0.0,0.0,2019-08-08T11:00:09.045030Z,Joined Bordeaux on a permanent deal on 6/8.,u,0.0,0.0,Laurent,Koscielny,3,7,51507.jpg,False,,51507,Laurent Koscielny
7,1,2,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,44,0,0,-1,1,0.0,0,6,1094,4853,0.0,0.0,2020-01-13T14:30:21.309535Z,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,n,0.0,0.0,Konstantinos,Mavropanos,3,8,233963.jpg,False,,233963,Konstantinos Mavropanos
8,1,2,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,45,0,0,0,0,0.0,1,3,427,2596,0.0,0.0,2019-08-07T17:00:10.875251Z,Joined Nottingham Forest on a permanent deal on 7/8.,u,0.0,0.0,Carl,Jenkinson,3,9,80254.jpg,False,,80254,Carl Jenkinson
9,1,2,Holding,0,0,0,0,2,0,0,0,0,0,0,0,85,13,0.4,2.0,1.6,13.4,0.4,0.0,0.0,1.0,3,False,0,45,0,0,0,0,0.1,18,51,11985,14616,100.0,100.0,2019-12-09T10:00:19.335279Z,,a,0.5,0.0,Rob,Holding,3,10,156074.jpg,False,,156074,Rob Holding
